2017-09-22 20:10:01 - PHP Warning:  Division by zero in /var/www/html/oc3demo/opencart/upload/admin/model/localisation/currency.php on line 141
2017-09-23 11:37:56 - PHP Notice:  Undefined index: zone in /var/www/html/oc3demo/opencart/upload/catalog/controller/common/zone.php on line 10
2017-09-23 11:49:07 - PHP Notice:  Undefined index: zone in /var/www/html/oc3demo/opencart/upload/catalog/controller/common/zone.php on line 12
2017-09-23 11:49:26 - PHP Notice:  Undefined index: zone in /var/www/html/oc3demo/opencart/upload/catalog/controller/common/zone.php on line 12
2017-09-25 11:18:27 - PHP Warning:  Division by zero in /var/www/html/oc3demo/opencart/upload/admin/model/localisation/currency.php on line 141
2017-09-25 11:20:23 - PHP Warning:  Division by zero in /var/www/html/oc3demo/opencart/upload/admin/model/localisation/currency.php on line 141
2017-09-25 12:10:22 - PHP Warning:  Division by zero in /var/www/html/oc3demo/opencart/upload/admin/model/localisation/currency.php on line 141
2017-09-26 19:20:52 - PHP Notice:  Undefined variable: server in /var/www/html/oc3demo/opencart/upload/catalog/controller/common/footer.php on line 21
2017-10-09 22:12:23 - PHP Warning:  Division by zero in C:\xampp\htdocs\syntez\upload\admin\model\localisation\currency.php on line 141
2017-10-10 7:49:27 - PHP Warning:  Division by zero in C:\xampp\htdocs\syntez\upload\admin\model\localisation\currency.php on line 141
2017-10-10 7:51:07 - PHP Warning:  Division by zero in C:\xampp\htdocs\syntez\upload\admin\model\localisation\currency.php on line 141
2017-10-10 8:08:33 - PHP Warning:  Division by zero in C:\xampp\htdocs\syntez\upload\admin\model\localisation\currency.php on line 141
2017-10-12 20:14:35 - PHP Notice:  Undefined index: code in /var/www/html/oc3demo/opencart/upload/admin/model/design/layout.php on line 38
2017-10-12 22:15:06 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-12 22:15:06 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-12 22:15:06 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-12 22:15:06 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-12 22:15:06 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-12 22:15:06 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-12 22:50:32 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-12 22:50:32 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-12 22:50:32 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-12 22:50:32 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-12 22:50:32 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-12 22:50:32 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 1:16:41 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 1:16:41 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 1:16:41 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 1:16:41 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 1:16:41 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 1:16:41 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 2:04:18 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 2:04:18 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 2:04:18 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 2:04:18 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 2:04:18 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 2:04:18 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 2:46:41 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 2:46:41 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 2:46:41 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 2:46:41 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 2:46:41 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 2:46:41 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 3:31:48 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 3:31:48 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 3:31:48 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 3:31:48 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 3:31:48 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 3:31:48 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 4:16:44 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 4:16:44 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 4:16:44 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 4:16:44 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 4:16:44 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 4:16:44 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 5:03:15 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 5:03:15 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 5:03:15 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 5:03:15 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 5:03:15 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 5:03:15 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 6:00:56 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 6:00:56 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 6:00:56 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 6:00:56 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 6:00:56 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 6:00:56 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 7:04:14 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 7:04:14 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 7:04:14 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 7:04:14 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 7:04:14 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 7:04:14 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 16:50:06 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 16:50:06 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 16:50:06 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 16:50:06 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 16:50:06 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 16:50:06 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 17:40:57 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 17:40:57 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 17:40:57 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 17:40:57 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 17:40:57 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 17:40:57 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 18:30:10 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 18:30:10 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 18:30:10 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 18:30:10 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 18:30:10 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 18:30:10 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 19:17:43 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 19:17:43 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 19:17:43 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 19:17:43 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 19:17:43 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 19:17:43 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 20:06:47 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 20:06:47 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 20:06:47 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 20:06:47 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 20:06:47 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 20:06:47 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 20:51:59 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 20:51:59 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 20:51:59 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 20:51:59 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 20:51:59 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 20:51:59 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 21:35:13 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 21:35:13 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
2017-10-13 21:35:13 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 16
2017-10-13 21:35:13 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 18
2017-10-13 21:35:13 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 20
2017-10-13 21:35:13 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 22
2017-10-13 22:20:23 - PHP Warning:  fopen(/var/www/html/vkartel.ru/opencart/upload/admin/view/stylesheet/bootstrap.css): failed to open stream: Permission denied in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 12
2017-10-13 22:20:23 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/vkartel.ru/opencart/upload/admin/controller/startup/sass.php on line 14
