"""ID""","""Наименование""",Здравохранение,Здравохранение,Здравохранение,Здравохранение,Здравохранение,Здравохранение,"Агропромышленный комплекс","Агропромышленный комплекс","Агропромышленный комплекс","Индустриальная химия","Индустриальная химия","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Клининг и дезинфекция","Для дома и всей семьи","Для дома и всей семьи","Для дома и всей семьи"
"""""","""""","Дезинфекция поверхностей","Дезинфекция изделий медицинского назначение","Дезинфекция на пищеблоке","Стерилизация и ДВУ эндоскопов","Дезинфекция биологических и медицинских отходов","Гигиена кожных покровов",Птицеводство,Свиноводство,КРС,"Обезжиривание поверхностей","Промышленный клининг","Дезинфекция поверхностей","Уход за полами","Средства для поломоечных машин","Удаление пятен","Удаление граффити","Мойка стекол и зеркал","Уход за оргтехникой","Средства по удалению засоров в трубах","Защита рук от воздействия агрессивных сред","Удаление загрязнений с рук","Уход за полами"
"""""","""""",1,2,3,4,5,19,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22
939,3D-Клин,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,3D-Септ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,"Antares High System Mini VI/3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,"Sani Gryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,"SteriPower Metallic Edition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,"SteriPower White Edition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,Triosept-Mix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,Актив,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
